iter	Passed	Remaining
0	2	2266
1	2	1407
2	3	1066
3	3	909
4	4	820
5	4	759
6	4	708
7	5	679
8	5	651
9	6	622
10	6	600
11	7	586
12	7	582
13	8	578
14	8	575
15	9	569
16	9	560
17	10	554
18	10	548
19	12	625
20	13	614
21	13	601
22	13	590
23	14	582
24	14	575
25	15	572
26	15	564
27	16	557
28	16	548
29	18	590
30	18	584
31	19	578
32	19	571
33	19	566
34	20	566
35	20	557
36	21	549
37	21	542
38	21	534
39	21	527
40	22	520
41	22	514
42	22	508
43	23	503
44	23	500
45	23	494
46	24	489
47	24	484
48	24	480
49	25	475
50	25	470
51	25	467
52	25	462
53	26	457
54	26	453
55	26	449
56	26	446
57	27	442
58	27	439
59	27	436
60	28	432
61	28	429
62	28	426
63	28	423
64	29	420
65	29	417
66	29	415
67	30	413
68	30	410
69	30	408
70	31	405
71	31	403
72	31	400
73	31	398
74	32	396
75	32	393
76	32	391
77	32	389
78	33	387
79	33	385
80	33	383
81	34	381
82	34	379
83	34	377
84	34	375
85	35	373
86	35	371
87	35	369
88	36	368
89	36	366
90	36	365
91	36	363
92	37	363
93	37	361
94	37	359
95	38	357
96	38	356
97	38	355
98	38	353
99	39	352
100	39	350
101	39	349
102	39	347
103	40	346
104	40	344
105	40	343
106	41	342
107	41	340
108	41	339
109	41	338
110	42	337
111	42	335
112	42	334
113	42	333
114	43	332
115	43	330
116	43	329
117	43	328
118	44	327
119	44	326
120	44	325
121	45	323
122	45	322
123	45	322
124	45	321
125	46	320
126	46	319
127	46	318
128	47	317
129	47	316
130	47	316
131	47	315
132	48	314
133	48	313
134	48	312
135	48	311
136	49	310
137	49	309
138	49	308
139	50	307
140	50	306
141	50	305
142	50	303
143	50	302
144	51	301
145	51	300
146	51	299
147	51	298
148	52	298
149	52	297
150	52	296
151	52	295
152	53	294
153	53	293
154	53	292
155	53	291
156	54	291
157	54	290
158	54	289
159	54	288
160	55	287
161	55	285
162	55	284
163	55	283
164	55	283
165	56	281
166	56	281
167	56	280
168	56	280
169	57	279
170	57	278
171	57	277
172	57	277
